start_time,stop_time,is_vis,is_ruleA,is_switch,is_cueB,is_choL,is_correct,association_mat,rule_belief,signed_bias,rule_following,bias_following,prob_actual_cho,trial_onset_plane_frame_idx,trial_offset_plane_frame_idx
2498.66475,2519.15125,True,True,False,True,True,True,[0.40965387 0.5903461  0.43434417 0.56565583],-0.024690285325050354,0.15600194036960602,-0.01234513521194458,0.07800096273422241,0.5656558275222778,[14923 14922 14922 14922 14922],[15013 15013 15013 15013 15012]
2946.28375,2964.0115,True,True,False,True,True,True,[0.62944525 0.3705548  0.72191614 0.2780838 ],-0.09247094392776489,-0.35136139392852783,-0.046235501766204834,-0.17568069696426392,0.27808380126953125,[17606 17606 17606 17606 17606],[17681 17681 17680 17680 17680]
2964.0315,2983.0425,True,True,False,True,True,True,[0.51652718 0.48347285 0.44172442 0.55827552],0.0748027116060257,0.04174838960170746,0.03740133345127106,0.020874187350273132,0.5582755208015442,[17713 17713 17712 17712 17712],[17795 17795 17794 17794 17794]
3053.35375,3074.2,True,True,False,False,False,True,[0.39077413 0.60922587 0.19523421 0.80476576],0.1955399066209793,0.41399164497852325,0.09776996076107025,-0.20699582993984222,0.390774130821228,[18248 18248 18248 18248 18248],[18341 18341 18341 18341 18341]
3136.56425,3154.142,True,True,False,True,True,True,[0.29063126 0.70936871 0.22821718 0.77178282],0.06241409480571747,0.4811515361070633,0.03120705485343933,0.24057576060295105,0.7717828154563904,[18747 18747 18747 18747 18747],[18821 18821 18820 18820 18820]
3170.307,3188.98925,True,True,False,False,False,True,[0.30032703 0.699673   0.17926633 0.82073367],0.12106068432331085,0.520406648516655,0.06053034961223602,-0.2602033168077469,0.30032703280448914,[18950 18950 18949 18949 18949],[19030 19029 19029 19029 19029]
3189.009,3207.68175,True,True,False,True,True,True,[0.49587858 0.50412142 0.29896116 0.7010389 ],0.19691744446754456,0.20516029000282288,0.09845873713493347,0.10258015990257263,0.7010388970375061,[19062 19062 19061 19061 19061],[19142 19142 19141 19141 19141]
3207.7045,3226.791,True,True,False,False,False,True,[0.39633349 0.60366654 0.1831816  0.81681836],0.21315184980630875,0.42048490792512894,0.10657594352960587,-0.21024245768785477,0.3963334858417511,[19174 19174 19174 19173 19173],[19256 19256 19256 19256 19255]
3459.474,3478.058,True,True,False,True,True,True,[0.29862735 0.70137262 0.12689447 0.87310559],0.17173291742801666,0.5744781941175461,0.08586648106575012,0.28723910450935364,0.8731055855751038,[20684 20683 20683 20683 20683],[20763 20763 20763 20762 20762]
3576.82475,3596.66,True,True,False,False,False,True,[0.26507255 0.73492742 0.11188039 0.88811964],0.1531921923160553,0.6230470538139343,0.07659608125686646,-0.31152352690696716,0.2650725543498993,[-2147483648 -2147483648 -2147483648 -2147483648 -2147483648],[-2147483648 -2147483648 -2147483648 -2147483648 -2147483648]
