start_time,stop_time,is_vis,is_ruleA,is_switch,is_cueB,is_choL,is_correct,association_mat,rule_belief,signed_bias,rule_following,bias_following,prob_actual_cho,trial_onset_plane_frame_idx,trial_offset_plane_frame_idx
20.8585,35.87825,True,False,False,True,False,True,[0.24430552 0.75569451 0.21147653 0.7885235 ],0.03282898664474487,0.544217973947525,-0.016414493322372437,-0.2721089720726013,0.21147653460502625,[63 63 62 62 62],[121 121 120 120 120]
80.2145,96.26025,True,False,False,True,False,True,[0.37139612 0.62860388 0.70826781 0.29173216],-0.3368716984987259,-0.079663947224617,0.16843584179878235,0.039831966161727905,0.7082678079605103,[419 419 419 418 418],[483 483 483 482 482]
111.5095,125.72925,True,False,False,False,True,True,[0.46207932 0.53792071 0.81143588 0.18856415],-0.3493565618991852,-0.27351516485214233,0.1746782809495926,-0.13675756752490997,0.5379207134246826,[607 606 606 606 606],[660 660 659 659 659]
125.749,139.825,True,False,False,False,True,True,[0.23096262 0.76903743 0.67222089 0.32777911],-0.4412582889199257,0.0968165174126625,0.22062915563583374,0.04840826988220215,0.7690374255180359,[692 692 692 691 691],[744 744 744 744 744]
154.59975,169.46625,True,False,False,True,False,True,[0.32629621 0.67370379 0.77577704 0.22422296],-0.4494808316230774,-0.10207325220108032,0.2247404158115387,0.05103662610054016,0.7757770419120789,[865 865 865 864 864],[922 922 922 922 921]
217.7515,231.613,True,False,False,True,False,True,[0.39029473 0.60970527 0.40733013 0.5926699 ],-0.017035380005836487,0.2023751586675644,0.00851769745349884,-0.1011875718832016,0.40733012557029724,[1244 1244 1243 1243 1243],[1295 1295 1294 1294 1294]
248.382,265.76275,True,False,False,False,True,True,[0.18214642 0.81785357 0.58859128 0.41140872],-0.40644485503435135,0.22926229983568192,0.20322242379188538,0.11463114619255066,0.817853569984436,[1427 1427 1427 1427 1427],[1500 1499 1499 1499 1499]
315.5765,333.034,True,False,False,False,True,True,[0.153703   0.84629703 0.6791324  0.3208676 ],-0.5254294127225876,0.167164608836174,0.2627147138118744,0.0835823118686676,0.846297025680542,[1830 1830 1830 1830 1830],[1903 1903 1903 1902 1902]
347.4615,363.343,True,False,False,True,False,True,[0.11880738 0.88119256 0.62516177 0.37483823],-0.5063543617725372,0.2560308277606964,0.2531771957874298,-0.1280154287815094,0.6251617670059204,[2022 2021 2021 2021 2021],[2084 2084 2084 2083 2083]
395.60725,409.92875,True,False,False,True,False,True,[0.15993476 0.8400653  0.79712451 0.20287557],-0.6371897384524345,0.04294080287218094,0.31859487295150757,-0.021470367908477783,0.7971245050430298,[2310 2310 2310 2310 2310],[2364 2364 2364 2363 2363]
456.36175,475.4355,True,False,False,False,True,True,[0.13049035 0.86950964 0.69928777 0.3007122 ],-0.5687974318861961,0.17022185772657394,0.28439871966838837,0.08511091768741608,0.8695096373558044,[2675 2674 2674 2674 2674],[2757 2757 2757 2756 2756]
490.519,506.74275,True,False,False,False,True,True,[0.10902158 0.8909784  0.66248262 0.33751735],-0.5534610413014889,0.2284957729279995,0.2767305225133896,0.1142478734254837,0.8909783959388733,[2879 2879 2879 2879 2879],[2945 2945 2944 2944 2944]
521.68175,539.38125,True,False,False,True,False,True,[0.11155466 0.88844526 0.77313751 0.22686245],-0.6615828312933445,0.11530776694417,0.330791424959898,-0.057653915137052536,0.7731375098228455,[3066 3066 3066 3066 3066],[3140 3140 3140 3140 3140]
571.284,586.54075,True,False,False,False,False,False,[0.12027217 0.87972784 0.69918311 0.30081689],-0.5789109393954277,0.18054472655057907,-0.28945546597242355,-0.09027235954999924,0.12027217447757721,[3364 3364 3363 3363 3363],[3412 3412 3412 3412 3411]
586.56075,602.81275,True,False,False,False,True,True,[0.28035173 0.71964824 0.74300158 0.25699848],-0.46264980733394623,-0.023353293538093567,0.23132488131523132,-0.011676639318466187,0.7196482419967651,[3455 3455 3455 3455 3455],[3521 3521 3520 3520 3520]
602.8335,620.3525,True,False,False,False,True,True,[0.17434117 0.82565886 0.69865263 0.3013474 ],-0.5243114531040192,0.12700623273849487,0.2621557265520096,0.06350313127040863,0.8256588578224182,[3553 3553 3553 3552 3552],[3626 3626 3626 3625 3625]
682.367,700.35925,True,False,False,False,True,True,[0.23604925 0.76395071 0.83148122 0.16851877],-0.5954319536685944,-0.06753049790859222,0.2977159693837166,-0.033765263855457306,0.7639507055282593,[4030 4030 4029 4029 4029],[4106 4106 4105 4105 4105]
700.38,715.6575,True,False,False,True,False,True,[0.1540561  0.84594387 0.71538812 0.28461191],-0.5613319873809814,0.13055577874183655,0.2806660085916519,-0.06527788937091827,0.7153881192207336,[4138 4138 4138 4137 4137],[4197 4197 4197 4197 4197]
768.06575,785.785,True,False,False,False,True,True,[0.16902891 0.83097106 0.48185951 0.51814049],-0.3128305822610855,0.34911157190799713,0.15641528367996216,0.17455577850341797,0.8309710621833801,[4544 4544 4543 4543 4543],[4618 4618 4618 4617 4617]
